GRF Observations - Ctrl,GRF Observations - Post
83.39594,76.27166
76.27167,76.78146
76.78144,69.76878
163.2763,70.45328
69.76883,66.94356
66.94356,68.98576
68.9857,69.44341
69.44342,72.46752
72.46748,74.66339
156.6857,76.43055
74.66339,79.76974
79.76972,80.71007
80.71006,83.12566
152.03,82.43867
83.12566,83.41073
83.41073,81.12666
150.2705,80.55499
80.55499,78.30254
81.12664,77.58243
77.58243,75.04826
147.3726,75.94291
75.94291,74.31983
74.31982,75.7165
75.7165,73.99451
75.04826,77.58424
142.3353,76.26632
76.26638,80.24416
80.24442,78.54397
78.5441,81.09727
57.79501,92.29614
234.624,113.7407
113.7412,111.2813
111.2813,114.145
114.1455,112.551
112.5509,115.0627
115.0631,114.2856
114.2855,116.1762
81.07304,84.11487
84.11337,98.51792
98.51382,180.358
180.358,205.381
205.3744,143.672
182.9104,157.695
157.6673,165.6497
165.6343,158.0327
158.0224,129.3148
129.3033,106.567
106.5595,99.15282
99.14809,91.73626
91.73601,89.5591
2504.419,43.18568
43.18707,50.51759
50.51826,61.93925
61.93932,65.81467
65.81458,68.6871
68.68707,64.1337
222.0955,69.58494
188.7435,80.54955
80.54955,78.81741
155.4028,91.74214
91.74209,87.39068
87.39056,89.53071
1420.221,85.47628
85.47626,87.36739
87.36738,83.30816
83.30824,86.3324
1040.045,84.21864
84.2187,86.54552
86.54555,85.62628
85.62634,86.71243
86.71245,87.78399
87.784,88.20309
88.20309,88.82526
88.82526,87.3627
87.36271,86.61172
86.61173,84.40104
84.40108,82.61379
82.61383,79.92783
79.92789,76.59433
352.2581,72.55677
72.55707,63.36723
176.0201,60.53489
60.53492,64.0721
63.36746,65.56245
176.7992,63.78307
63.78295,65.19736
65.19755,72.71873
72.71888,72.30023
72.30057,82.23776
82.23795,78.7485
78.74868,86.51331
86.51337,81.60219
81.60223,85.5051
85.50514,80.534
80.53406,81.78568
81.78577,77.4727
77.4729,78.41375
78.41401,75.14677
75.14722,76.81789
76.81829,74.41994
74.4206,76.59734
76.59783,74.51211
74.51289,76.69168
76.69217,74.32582
74.32661,76.01022
76.01072,73.59676
73.59757,74.80517
74.8057,72.924
72.92494,74.6543
74.65511,72.63892
72.64008,74.76718
74.76858,72.94663
22.05478,87.86089
210.0825,85.71968
85.7225,86.00822
190.9741,84.7364
84.43369,88.98077
88.97733,131.5236
1230.266,134.1016
0,115.727
150.8314,109.7677
109.764,116.4422
116.4418,115.779
175.0749,92.82841
115.779,68.23797
68.23808,63.80271
127.6613,65.7804
65.78046,60.9905
60.99052,54.41566
54.4157,50.18031
155.0674,51.88702
50.1804,50.57123
50.57127,57.08814
57.08816,56.9549
56.95492,64.68143
64.68144,62.76321
62.76323,71.19994
71.19993,68.15588
68.15588,74.83805
74.83801,70.65186
70.65186,74.52641
205.6628,78.88966
78.88968,80.27296
80.27292,75.57437
75.5744,74.80598
76.00363,81.22694
81.22698,79.33376
79.33378,76.62717
76.6272,74.90555
180.17,73.38415
74.90562,71.68286
71.68291,72.06098
72.06097,72.63622
72.63623,74.39018
74.39018,74.3755
74.3755,75.99817
75.99817,75.32343
75.32342,77.18414
77.18414,74.92039
74.92037,76.43458
76.43457,73.2641
73.26406,74.77032
161.9688,70.16822
74.77023,72.33941
72.33933,71.62252
71.62244,74.63288
74.6328,76.7411
76.74098,78.32364
155.1716,78.55135
78.32343,79.51192
79.51183,81.0803
81.08023,80.97385
151.2537,81.39569
80.97373,79.9723
79.97225,79.94502
150.2823,77.98148
79.94496,78.62219
78.62216,76.00743
147.3375,76.77396
76.77395,74.83498
76.00739,76.01473
145.7362,74.23399
74.23396,77.12469
77.12468,75.59757
75.59753,79.2312
79.23125,77.58069
77.58067,80.6512
80.65143,78.68284
150.6528,113.9978
113.9985,111.2139
111.2141,114.6459
114.647,112.6915
112.6918,115.3869
115.3881,114.2743
114.2745,116.3931
78.67103,82.71037
82.71014,89.91983
89.91403,117.9151
117.9169,198.1785
198.1771,180.3663
67.48647,137.2157
253.6903,156.5284
156.5054,164.4069
164.3953,147.1368
147.1259,118.1872
118.1783,102.6934
102.6875,94.79924
2464.249,45.82904
45.82902,48.63215
48.63337,59.19119
59.19173,68.15845
68.1584,68.98307
68.98304,66.59357
224.4972,67.31503
67.31496,64.03931
188.4209,75.42272
75.42272,72.76301
152.0736,85.91719
85.91715,83.39929
83.39924,86.57822
86.57819,84.84538
84.84539,87.76129
87.76129,86.97457
86.97462,89.54834
89.54836,89.06026
89.06031,90.57574
90.57574,89.80531
89.80534,90.43395
90.43395,89.25334
89.25335,88.96079
88.96078,87.04665
87.04665,85.81407
85.81408,83.5638
83.5638,81.79017
81.79019,79.65127
79.65128,77.4699
77.46993,74.61375
74.61375,72.11171
72.11173,69.3796
69.3796,67.08086
347.7611,61.94124
176.4785,59.21135
59.21135,61.48401
61.48402,63.0517
63.05177,71.4378
71.43786,70.86759
70.8677,80.38847
80.38854,77.5243
77.52435,84.04164
84.04169,79.47218
79.47219,82.65903
82.65906,77.31252
77.31253,79.30545
3358.906,75.24449
10.51755,76.21473
76.21494,74.44207
74.44242,75.82954
75.82998,74.86823
74.86887,77.47678
77.47733,76.07107
76.07185,78.10841
78.10896,75.85942
75.86021,76.54697
76.5475,73.98739
73.98816,73.54236
73.54293,71.15939
71.16016,70.16766
70.16837,68.50708
68.50799,68.27188
68.27308,67.13879
67.14017,66.96733
45.4923,77.14752
234.3082,92.38001
92.38357,91.34142
77.15731,74.92794
2923.075,96.29722
96.27828,213.2568
1349.062,157.3338
63.82172,116.3218
131.7568,110.9507
110.951,128.2798
116.3259,110.7988
110.799,85.22773
85.22791,82.94347
83.2472,87.08285
187.2792,81.26901
1277.649,87.66261
87.6627,80.25835
80.25847,78.368
41.60926,82.259
82.25934,84.1644
165.6407,80.33932
84.16493,84.79707
84.79741,79.0447
2476.336,83.45739
83.45781,79.10592
79.10632,81.88457
149.5623,79.088
81.88495,82.50356
82.5038,78.10429
78.10444,79.77596
79.77613,76.39516
76.39523,77.75856
155.273,75.67353
77.75863,77.07101
77.07105,75.50627
75.50628,75.61733
75.61735,74.26614
164.632,72.50896
74.26614,71.93076
71.93076,71.28707
169.8574,71.68254
71.28706,71.13827
71.13825,72.05814
177.3243,69.69421
69.69421,69.70806
69.70799,65.18366
0,65.60822
138.0529,63.95465
63.95465,66.20192
166.2357,65.16092
65.16089,66.71797
66.71786,64.54888
64.54876,65.99094
65.99074,67.12129
67.12103,69.27566
69.27545,72.81255
72.81225,74.65369
74.65354,78.77896
78.7787,79.41174
79.41163,82.44753
82.44732,81.42902
81.42892,82.74886
