rfootrx,rfootrz,rtibiarx,Left GRF,Right GRF,OSL_phase
-0.2804188,-0.03486827,0.502529,29.59822,75.25306,0
-0.2969713,-0.0370445,0.5122938,26.52404,80.4379,0
-0.3125017,-0.03892812,0.5205659,10.91384,82.13247,0
-0.3281711,-0.0402648,0.5283509,13.42835,85.12539,0
-0.3419039,-0.04126855,0.5337403,16.77639,80.94906,0
-0.3558807,-0.04179872,0.539022,13.74033,88.1878,0
-0.3681534,-0.04196323,0.542044,9.512124,85.36216,0
-0.3807974,-0.0416257,0.5455541,13.45934,93.74408,0
-0.3917888,-0.04072691,0.5464529,7.881362,87.86508,0
-0.4030053,-0.03936762,0.5480422,8.258861,96.78088,1
-0.4130769,-0.03731063,0.5469666,7.671539,89.60793,1
-0.4233138,-0.0348428,0.5468021,6.320553,97.87449,1
-0.4322453,-0.03158959,0.5439292,1.810046,89.84489,1
-0.4413861,-0.02799712,0.5421683,0.9548465,97.17406,1
-0.4494238,-0.02357843,0.5377707,0,88.99055,1
-0.4575447,-0.01889401,0.5346454,0,95.74655,1
-0.4648031,-0.01343244,0.5290028,0,87.56649,1
-0.4719159,-0.007854442,0.5247114,0,93.88844,1
-0.478431,-0.001633662,0.5180612,0,86.14616,1
-0.4846562,0.004550109,0.512808,0,92.05903,1
-0.4904461,0.01124372,0.505348,0,84.88441,1
-0.4959252,0.01778763,0.4992857,0,90.15398,1
-0.5010773,0.02475313,0.4911765,0,83.60801,1
-0.5059054,0.03149934,0.4844064,0,88.13552,1
-0.5105163,0.03861349,0.4757763,0,82.29132,1
-0.5147941,0.04547086,0.468376,0,86.12631,1
-0.5189757,0.05265895,0.459322,0,81.02879,1
-0.5227913,0.05955696,0.4513482,0,84.22224,1
-0.5270307,0.0667586,0.4419824,0,91.95952,1
-0.5301999,0.07353732,0.4334523,0,95.30737,1
-0.5336908,0.08054249,0.4237438,0,90.80063,1
-0.5362679,0.0871053,0.4148194,0,93.84418,1
-0.5395979,0.09385869,0.4048926,0,89.52486,1
-0.5419936,0.1001451,0.3955054,0,91.05743,1
-0.5449409,0.1065304,0.3853307,0,87.26336,1
-0.5470836,0.1124399,0.3756849,0,88.46799,1
-0.5498152,0.1183543,0.3655396,0,85.32069,1
-0.551744,0.1237164,0.3559359,0,86.90165,1
-0.5543439,0.1289601,0.3461426,0,84.34766,1
-0.5560791,0.1334647,0.3369476,0,87.06858,1
-0.5585398,0.1375756,0.3279241,0,85.19062,1
-0.5599562,0.1405862,0.3196053,0,88.99133,1
-0.5621772,0.1429597,0.3117515,0,86.84783,1
-0.5632015,0.1442439,0.3046063,0,90.71917,1
-0.5641215,0.1449417,0.297931,0,94.08474,1
-0.5651949,0.1450202,0.292403,0,91.73569,1
-0.565806,0.1448943,0.2873555,0,91.01934,1
-0.5651557,0.1444114,0.283339,0,93.6601,1
-0.5651547,0.1441121,0.2800536,0,92.40806,1
-0.562623,0.1436173,0.2773662,0,119.2678,1
-0.5620325,0.1436709,0.2758126,0,109.1663,1
-0.55922,0.1435239,0.2753606,0,109.6223,1
-0.5571246,0.1434984,0.2758553,0,105.2776,1
-0.55415,0.1433287,0.2777753,0,104.8502,1
-0.5523535,0.1431317,0.2804759,0,100.7027,1
-0.5493942,0.1426113,0.2838407,0,101.0732,1
-0.5472023,0.1418305,0.2878246,0,98.6043,1
-0.5439434,0.140593,0.2919452,0,100.5104,1
-0.5411807,0.1390812,0.2966398,0,99.09544,1
-0.5373081,0.1371561,0.3012168,0,101.4253,1
-0.5337085,0.1350681,0.3064193,0,100.4917,1
-0.52887,0.1326634,0.3115779,0,102.4347,1
-0.5240794,0.1302418,0.3174704,0,101.6176,1
-0.5172648,0.1275694,0.3236007,0,134.4181,1
-0.5114962,0.1250564,0.3309906,0,125.2709,1
-0.5035335,0.1223299,0.3393823,0,124.5089,1
-0.4944147,0.1196854,0.3488007,7.518737,130.7879,1
-0.4852557,0.1167346,0.3593843,46.44986,171.1222,1
-0.4758792,0.1143295,0.3715427,250.4595,159.9748,1
-0.4641617,0.1104059,0.3852811,398.6207,148.34,1
-0.449284,0.1068692,0.4002876,243.5943,143.8616,1
-0.4323639,0.1030185,0.4173137,172.8646,119.4044,1
-0.411174,0.1003161,0.4350544,109.0686,121.5081,1
-0.3912809,0.09670242,0.4541357,93.01855,96.88796,2
-0.3684042,0.0943142,0.4732545,102.2826,91.89517,2
-0.3451011,0.09095596,0.4928529,90.9963,67.33432,2
-0.3192936,0.08863541,0.512337,74.40665,60.67592,2
-0.2941353,0.08514253,0.5335848,72.33049,39.70821,2
-0.2676377,0.08199494,0.5552439,73.74307,31.70677,2
-0.2458226,0.07783452,0.5789449,76.11214,25.61734,2
-0.224706,0.07392496,0.6024687,72.17308,17.36717,2
-0.2163159,0.0698588,0.6275725,72.78662,17.2264,2
-0.2050482,0.06576085,0.6510625,71.85036,3.903196,2
-0.2073623,0.0617651,0.675192,74.88183,2.443386,2
-0.2027238,0.05697749,0.699096,73.73782,0.01802382,2
-0.2121522,0.0531716,0.7241418,76.89932,0,2
-0.2131252,0.04825805,0.7493218,75.71958,0,2
-0.2278408,0.04509704,0.7754786,80.26208,0,2
-0.2336079,0.04065412,0.8015655,79.13883,0,2
-0.2520335,0.03837789,0.8278591,84.38071,0,2
-0.2614633,0.03470065,0.8538718,83.47556,0,2
-0.282007,0.03325919,0.879172,88.37408,0,2
-0.293915,0.0303812,0.9040105,87.27899,0,2
-0.3152184,0.02961503,0.9272762,90.95479,0,2
-0.3285593,0.02737385,0.9499142,89.93194,0,2
-0.3495591,0.02692579,0.9696754,92.04039,0,2
-0.3634891,0.02526266,0.9877892,91.08065,0,2
-0.3834999,0.02537588,1.002125,91.40929,0,2
-0.3974106,0.02435013,1.014736,90.38405,0,2
-0.4161139,0.0250037,1.023584,89.42732,0,2
-0.4296634,0.02452694,1.031148,88.57232,0,2
-0.4468764,0.02569138,1.035292,86.71972,0,2
-0.4598654,0.02565607,1.038638,86.01188,0,2
-0.4754083,0.02726758,1.038899,83.64265,0,2
-0.487648,0.02756144,1.038674,83.05475,0,2
-0.5013024,0.02951822,1.035564,80.49483,0,2
-0.5125479,0.03003986,1.032066,79.93709,0,2
-0.5240715,0.03222065,1.02574,77.48412,0,2
-0.5340062,0.03289177,1.018954,76.86173,0,3
-0.5429025,0.03507252,1.009381,73.79546,0,3
-0.5511699,0.0358353,0.9991925,72.5479,0,3
-0.5570105,0.0377861,0.9863196,68.73909,0,3
-0.5633065,0.03864265,0.9726925,67.12956,0,3
-0.5661446,0.04036564,0.9563766,64.67381,0,3
-0.5704654,0.04138593,0.9392205,63.57493,0,3
-0.5705701,0.04302872,0.9192607,64.43671,0,3
-0.573119,0.04429142,0.8984678,63.97395,0,3
-0.5707507,0.04602895,0.8749212,68.22657,0,3
-0.5717956,0.04764767,0.8506938,68.02987,0,3
-0.5671393,0.04966817,0.8240446,74.7328,0,3
-0.5668776,0.05178278,0.7969393,74.57401,0,3
-0.5602575,0.05425049,0.7680032,114.2127,0,3
-0.5588945,0.05695637,0.7388743,113.0665,0,3
-0.5507746,0.05992053,0.7086198,122.2146,0,3
-0.5485598,0.06322559,0.6784338,120.365,0,3
-0.5390542,0.06647273,0.6476836,128.7215,0,3
-0.5361357,0.07020569,0.6172739,125.5416,0,3
-0.5259765,0.07352206,0.5869014,130.8989,0,3
-0.5226896,0.07736687,0.5571769,157.3207,0,3
-0.5125411,0.08031126,0.5280116,160.2995,0,3
-0.5092195,0.08369581,0.4998405,153.3637,0,3
-0.4995175,0.08546788,0.4727489,154.8138,0,3
-0.4962783,0.08761539,0.4472107,149.3966,0,3
-0.4865703,0.08754167,0.4231499,151.1162,0,3
-0.4833313,0.087884,0.4015893,147.241,0,3
-0.4732584,0.08539627,0.3820922,150.1454,0,3
-0.4692601,0.08399305,0.3659643,147.1919,0,3
-0.4585483,0.07981966,0.3519464,149.1183,0,3
-0.4534535,0.07717133,0.3412883,146.601,0,3
-0.441421,0.07173888,0.3321553,195.179,0,3
-0.4348709,0.06823619,0.3258901,191.6675,0,3
-0.4208272,0.06179311,0.3202878,187.4112,0,3
-0.4125053,0.05758586,0.3170424,183.5917,0,3
-0.3965429,0.05026839,0.3141733,262.0674,0,3
-0.3865308,0.04530696,0.313485,255.735,0,3
-0.3683625,0.03715428,0.3127549,236.8107,0,3
-0.3567718,0.03143638,0.3141095,229.9051,0,3
-0.3363388,0.02270248,0.3151403,206.3942,0,3
-0.3234425,0.01638798,0.3182739,198.5398,0,3
-0.3004375,0.007627366,0.3204678,171.6065,0,3
-0.2864131,0.001001349,0.3246988,162.422,1.44487,3
-0.2615228,-0.006329837,0.3253936,138.7686,48.03483,3
-0.2095431,-0.0128516,0.3406556,135.0571,567.3737,3
-0.1889642,-0.01715523,0.3731437,123.2433,612.6381,0
-0.1905642,-0.0233236,0.3979762,122.6734,185.7132,0
-0.1883304,-0.02666598,0.415404,87.67833,141.0958,0
-0.1836187,-0.03027772,0.4321397,71.54357,154.9361,0
-0.1900026,-0.03414717,0.4522564,44.98217,122.871,0
-0.2133503,-0.03833422,0.4728265,46.76676,112.3858,0
-0.2395679,-0.04193401,0.4900503,46.99092,100.9297,0
-0.2572149,-0.04485841,0.5025003,22.45871,87.3757,0
-0.2740945,-0.04701885,0.5133864,24.50052,88.40974,0
-0.2897395,-0.04885725,0.5222115,16.53259,88.83934,0
-0.305961,-0.05009332,0.5305277,32.06598,89.24209,0
